rank,skill,skill_key,platform,vendor,source_skillssh,slug_clawhub,url,repo_url,install,match,description,description_zh,first_seen_days,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score,category,flags
11,suno-lyrics-to-song,sh:suno-lyrics-to-song,skillhub-cn,,,,,,,single,输入完整歌词、歌词草稿、零散歌词行或一个 hook，把歌词变成歌。这个 Suno 歌词成曲流程可选择保留模式完整保留原词，也可选择优化模式改善措辞、节奏、押韵、hook 和演唱流畅度；再整理主歌、副歌、桥段与重复结构，确定曲风、情绪、编曲和人声方向，用 Suno 自定义歌词生成可试听歌曲。适合 Suno 歌词生成歌曲、歌词生成歌曲、用歌词生成音乐、中文歌词生成歌曲、歌词草稿成歌、歌词谱曲、歌词配乐,输入完整歌词、歌词草稿、零散歌词行或一个 hook，把歌词变成歌。这个 Suno 歌词成曲流程可选择保留模式完整保留原词，也可选择优化模式改善措辞、节奏、押韵、hook 和演唱流畅度；再整理主歌、副歌、桥段与重复结构，确定曲风、情绪、编曲和人声方向，用 Suno 自定义歌词生成可试听歌曲。适合 Suno 歌词生成歌曲、歌词生成歌曲、用歌词生成音乐、中文歌词生成歌曲、歌词草稿成歌、歌词谱曲、歌词配乐,14,,,104981,0.927,design-media,
12,gpt-image-2-5-studio,sh:gpt-image-2-5-studio,skillhub-cn,,,,,,,single,GPT Image 2.5生图用 GPT-Image-2.5 和 ChatGPT Images 2.5 出一张图。GPT Image 2.5 Studio 支持 gpt-image-2.5-flare 与 gpt-image-2.5-sunburst，可文生图或参考图生图，做中文海报、商品图、信息图和社媒画面。,GPT Image 2.5生图用 GPT-Image-2.5 和 ChatGPT Images 2.5 出一张图。GPT Image 2.5 Studio 支持 gpt-image-2.5-flare 与 gpt-image-2.5-sunburst，可文生图或参考图生图，做中文海报、商品图、信息图和社媒画面。,12,,,102060,0.925,design-media,
13,ai-video-generation,ss:101-skills/superpowers/ai-video-generation,skills.sh,101-skills,101-skills/superpowers,,https://www.skills.sh/101-skills/superpowers/ai-video-generation,https://github.com/101-skills/superpowers,npx skills add https://github.com/101-skills/superpowers --skill ai-video-generation,single,,,25,443453,,,0.916,design-media,
14,twitter-automation,ss:101-skills/superpowers/twitter-automation,skills.sh,101-skills,101-skills/superpowers,,https://www.skills.sh/101-skills/superpowers/twitter-automation,https://github.com/101-skills/superpowers,npx skills add https://github.com/101-skills/superpowers --skill twitter-automation,single,,,25,443140,,,0.915,content-creation,
15,ai-image-generation,ss:101-skills/superpowers/ai-image-generation,skills.sh,101-skills,101-skills/superpowers,,https://www.skills.sh/101-skills/superpowers/ai-image-generation,https://github.com/101-skills/superpowers,npx skills add https://github.com/101-skills/superpowers --skill ai-image-generation,single,,,25,443094,,,0.915,design-media,
16,whiteboard-animation-maker,sh:whiteboard-animation-maker,skillhub-cn,,,,,,,single,把一个概念、一份写好的口播稿，或一条要对标的社媒视频，变成 1080×1920 竖屏白板手绘讲解片（白底黑线）。这个白板动画制作工具支持汉字与英文单词逐笔手绘、流程卡片等多种画面，支持口播配音与声音克隆，还能先读取小红书、抖音、TikTok、YouTube、Instagram 或 X 上的对标视频再拆解结构。适用于白板动画、手绘讲解视频、手绘视频、概念科普、什么是 X、口播配音等需求。,把一个概念、一份写好的口播稿，或一条要对标的社媒视频，变成 1080×1920 竖屏白板手绘讲解片（白底黑线）。这个白板动画制作工具支持汉字与英文单词逐笔手绘、流程卡片等多种画面，支持口播配音与声音克隆，还能先读取小红书、抖音、TikTok、YouTube、Instagram 或 X 上的对标视频再拆解结构。适用于白板动画、手绘讲解视频、手绘视频、概念科普、什么是 X、口播配音等需求。,12,,,92464,0.914,design-media,
17,ai-avatar-video,ss:101-skills/superpowers/ai-avatar-video,skills.sh,101-skills,101-skills/superpowers,,https://www.skills.sh/101-skills/superpowers/ai-avatar-video,https://github.com/101-skills/superpowers,npx skills add https://github.com/101-skills/superpowers --skill ai-avatar-video,single,,,25,442839,,,0.913,design-media,
18,design-mobile-apps,ss:designed-by-ai/skills/design-mobile-apps,skills.sh,designed-by-ai,designed-by-ai/skills,,https://www.skills.sh/designed-by-ai/skills/design-mobile-apps,https://github.com/designed-by-ai/skills,npx skills add https://github.com/designed-by-ai/skills --skill design-mobile-apps,single,,,21,418049,,,0.902,design-media,
19,viral-video-teardown-remake,sh:viral-video-teardown-remake,skillhub-cn,乐萱同行科技（深圳）有限公司,,,,,,single,把一条已经跑出来的短视频，变成你自己的那一条。参考视频可以是文件、截图或你自己的描述，也可以直接粘一个视频链接——抖音、TikTok、小红书、Instagram、YouTube、X 都能读到标题文案、作者、公开数据和评论区留言；YouTube 还支持字幕提取，拿到整段逐字稿。爆款短视频拆解与复刻工作流：逐段拆出钩子、中段节奏和转化引导，判定它属于哪一类脚本结构，说清它到底靠什么跑起来，再把这套骨架,把一条已经跑出来的短视频，变成你自己的那一条。参考视频可以是文件、截图或你自己的描述，也可以直接粘一个视频链接——抖音、TikTok、小红书、Instagram、YouTube、X 都能读到标题文案、作者、公开数据和评论区留言；YouTube 还支持字幕提取，拿到整段逐字稿。爆款短视频拆解与复刻工作流：逐段拆出钩子、中段节奏和转化引导，判定它属于哪一类脚本结构，说清它到底靠什么跑起来，再把这套骨架,19,,,76274,0.897,content-creation,
20,lskj-recommend,sh:lskj-recommend,skillhub-cn,武汉览山科技有限公司,,,,,,single,查询并分析与企业产品或服务匹配的招投标潜在项目、采购意向、招标公告和拟在建项目，获取全量项目列表后按业务匹配度、项目阶段、时效、地区和金额评分，输出 A/B/C 推荐等级、等级汇总、项目详情、采集源网址和跟进建议。用于招投标项目推荐、投标商机筛选、销售线索挖掘、采购机会发现、拟在建项目跟踪和市场拓客；不用于单纯查询指定项目或生成企业研究报告。,查询并分析与企业产品或服务匹配的招投标潜在项目、采购意向、招标公告和拟在建项目，获取全量项目列表后按业务匹配度、项目阶段、时效、地区和金额评分，输出 A/B/C 推荐等级、等级汇总、项目详情、采集源网址和跟进建议。用于招投标项目推荐、投标商机筛选、销售线索挖掘、采购机会发现、拟在建项目跟踪和市场拓客；不用于单纯查询指定项目或生成企业研究报告。,29,,,66460,0.88,business-ops,
21,telehot-bid-compliance-check,sh:telehot-bid-compliance-check,skillhub-cn,江苏天好富兴数据技术有限公司,,,,,,single,用于检验投标文件是否满足招标文件要求，排查废标风险并输出符合性检查报告。当用户要求检查、审查、核对、体检投标文件或标书，比对招标文件与投标文件，排查废标项、符合性问题、响应遗漏或评分点缺失，生成响应矩阵、问题清单或整改清单时使用。输入前提以用户上传的文件为准（上传后先按文件名判定哪些是招标文件、哪些是投标文件，判定不出再按正文骨架识别）：单次输入上限为 1 份招标文件、3 份投标文件，任一侧超出则,用于检验投标文件是否满足招标文件要求，排查废标风险并输出符合性检查报告。当用户要求检查、审查、核对、体检投标文件或标书，比对招标文件与投标文件，排查废标项、符合性问题、响应遗漏或评分点缺失，生成响应矩阵、问题清单或整改清单时使用。输入前提以用户上传的文件为准（上传后先按文件名判定哪些是招标文件、哪些是投标文件，判定不出再按正文骨架识别）：单次输入上限为 1 份招标文件、3 份投标文件，任一侧超出则,15,,,66374,0.878,office-efficiency,
22,lskj-official-sales,sh:lskj-official-sales,skillhub-cn,武汉览山科技有限公司,,,,,,single,销售线索挖掘，该skill用于从招标、采购意向、中标和企业数据中发现潜在采购客户，补充项目主体、联系人和跟进理由，并形成销售线索清单。用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客等需求。需配置世舶科技 API Key 使用，面向销售获客、CRM客户商机、采购线索挖掘、区域商机筛选和项目型销售拓展，从招标公告、采购意向、中标公告、候选人公示、合同公告、政府采购、工程建设、企,销售线索挖掘，该skill用于从招标、采购意向、中标和企业数据中发现潜在采购客户，补充项目主体、联系人和跟进理由，并形成销售线索清单。用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客等需求。需配置世舶科技 API Key 使用，面向销售获客、CRM客户商机、采购线索挖掘、区域商机筛选和项目型销售拓展，从招标公告、采购意向、中标公告、候选人公示、合同公告、政府采购、工程建设、企,28,,,59483,0.864,business-ops,
23,xique-ai,sh:xique-ai,skillhub-cn,北京喜鹊云智科技有限公司,,,,,,single,标书生成与投标文件编写专家，面向 WorkBuddy 用户。上传招标文件，按需配置篇幅、写作方式、图文与表格，完成技术标大纲规划、目录预览与修改、正文生成和 Word 导出。支持快速/规划两种模式、多标包与 EPC 场景、暗标设置和自定义排版。适用于标书制作、标书编写、技术方案生成及投标文件导出。请登录喜鹊AI标书官网获取Apikey：https://www.xiquebiaoshu.com/?s,标书生成与投标文件编写专家，面向 WorkBuddy 用户。上传招标文件，按需配置篇幅、写作方式、图文与表格，完成技术标大纲规划、目录预览与修改、正文生成和 Word 导出。支持快速/规划两种模式、多标包与 EPC 场景、暗标设置和自定义排版。适用于标书制作、标书编写、技术方案生成及投标文件导出。请登录喜鹊AI标书官网获取Apikey：https://www.xiquebiaoshu.com/?s,24,,,58716,0.86,office-efficiency,
24,lskj-official-analyze,sh:lskj-official-analyze,skillhub-cn,武汉览山科技有限公司,,,,,,single,按行业、地区、时间、项目分类、采购分类和金额分析招投标及合同数据，输出统计口径、趋势和结构。用于行业研究、区域市场分析、招投标趋势、市场容量观察、客户结构分析和经营决策支持。需配置世舶科技 API Key 使用，面向招投标行业情报、区域市场、价格行情、客户结构和竞争格局分析，覆盖招标公告、中标公告、中标候选人、政府采购、工程建设、企业采购、采购意向、合同公告、变更公告、废标流标、拟在建项目、临期项,按行业、地区、时间、项目分类、采购分类和金额分析招投标及合同数据，输出统计口径、趋势和结构。用于行业研究、区域市场分析、招投标趋势、市场容量观察、客户结构分析和经营决策支持。需配置世舶科技 API Key 使用，面向招投标行业情报、区域市场、价格行情、客户结构和竞争格局分析，覆盖招标公告、中标公告、中标候选人、政府采购、工程建设、企业采购、采购意向、合同公告、变更公告、废标流标、拟在建项目、临期项,27,,,58459,0.859,data-analysis,
25,handwritten-newspaper-template-generator-showapi,sh:handwritten-newspaper-template-generator-showapi,skillhub-cn,昆明秀派科技有限公司,,,,,,single,根据主题、年级和画面比例，自动生成符合A4打印标准的手抄报黑白线稿模板；适用于小学手抄报作业辅助、主题黑板报线稿设计、儿童涂色填字模板生成场景,根据主题、年级和画面比例，自动生成符合A4打印标准的手抄报黑白线稿模板；适用于小学手抄报作业辅助、主题黑板报线稿设计、儿童涂色填字模板生成场景,27,,,57979,0.856,design-media,
26,wan-3-0-prime-reference-to-video,ss:genmedia-labs/skills/wan-3-0-prime-reference-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/wan-3-0-prime-reference-to-video,https://github.com/genmedia-labs/skills,npx skills add https://github.com/genmedia-labs/skills --skill wan-3-0-prime-reference-to-video,single,,,21,317965,,,0.851,design-media,
27,seedance-2-5-image-to-video,ss:genmedia-labs/skills/seedance-2-5-image-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/seedance-2-5-image-to-video,https://github.com/genmedia-labs/skills,npx skills add https://github.com/genmedia-labs/skills --skill seedance-2-5-image-to-video,single,,,21,317755,,,0.85,design-media,
28,seedance-2-5-reference-to-video,ss:genmedia-labs/skills/seedance-2-5-reference-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/seedance-2-5-reference-to-video,https://github.com/genmedia-labs/skills,npx skills add https://github.com/genmedia-labs/skills --skill seedance-2-5-reference-to-video,single,,,21,317391,,,0.85,design-media,
29,zhiliao-official-tender-assistant,sh:zhiliao-official-tender-assistant,skillhub-cn,北京百炼智能科技有限公司,,,,,,single,知了标讯官方招投标数据助手，覆盖招标公告与中标结果查询、企业工商与招中标画像、竞争对手分析、市场趋势统计、Top采购/中标单位与品牌、历史中标价格、临期项目商机挖掘等。当用户涉及招投标、政府采购、中标查询、供应商/竞对分析、采购市场研究等任何场景时，必须使用此SKILL；即使未出现「招投标」字样，只要涉及中标、采购、供应商、竞对、市场份额等需求均应使用。,知了标讯官方招投标数据助手，覆盖招标公告与中标结果查询、企业工商与招中标画像、竞争对手分析、市场趋势统计、Top采购/中标单位与品牌、历史中标价格、临期项目商机挖掘等。当用户涉及招投标、政府采购、中标查询、供应商/竞对分析、采购市场研究等任何场景时，必须使用此SKILL；即使未出现「招投标」字样，只要涉及中标、采购、供应商、竞对、市场份额等需求均应使用。,19,,,54254,0.848,business-ops,
30,opentwitter-mcp,ch:opentwitter-mcp,clawhub,,,opentwitter-mcp,,,,single,"Twitter/X data via the 6551 API. Supports user profiles, tweet search, user tweets, follower events, deleted tweets, and KOL followers.",,28,,22565,,0.842,,
31,opennews-mcp,ch:opennews-mcp,clawhub,,,opennews-mcp,,,,single,"Real-time crypto, equities, macro, and financial market news aggregator — 85+ data sources across 6 categories covering digital assets, U.S. stocks, semiconductors, AI infrastructure, supply chains, c",,28,,22340,,0.84,data-analysis,
32,zlbx-bidding,sh:zlbx-bidding,skillhub-cn,,,,,,,single,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、商机预测、推荐潜在投标供应商、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、分析竞争对手/竞对企业、查询Top采购单位/Top中标单位/Top中标品牌、招中标数据统计分析（按月/季/年/省份/品牌等维度）、查询品牌型号历史中标单价/价格趋势、市场分析/行,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、商机预测、推荐潜在投标供应商、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、分析竞争对手/竞对企业、查询Top采购单位/Top中标单位/Top中标品牌、招中标数据统计分析（按月/季/年/省份/品牌等维度）、查询品牌型号历史中标单价/价格趋势、市场分析/行,24,,,51960,0.836,data-analysis,
33,minimax-h3-ai-video,sh:minimax-h3-ai-video,skillhub-cn,,,,,,,single,用 MiniMax H3 创作高质感 2K AI 视频。从文字创意出发完成文生视频，让静态图片自然动起来，用首尾画面设计完整转场，也可以结合图片、视频和音频参考塑造统一场景。适合 AI 广告视频、电商产品视频、品牌宣传视频、动态海报、游戏 UI、电影片头和社交短视频创作，形成电影感画面与同步的原生立体声。使用 Beatra 账号即可开始，创作进度与成片集中管理。,用 MiniMax H3 创作高质感 2K AI 视频。从文字创意出发完成文生视频，让静态图片自然动起来，用首尾画面设计完整转场，也可以结合图片、视频和音频参考塑造统一场景。适合 AI 广告视频、电商产品视频、品牌宣传视频、动态海报、游戏 UI、电影片头和社交短视频创作，形成电影感画面与同步的原生立体声。使用 Beatra 账号即可开始，创作进度与成片集中管理。,5,,,50229,0.828,design-media,
34,pentest,sh:pentest,skillhub-cn,,,,,,,single,"Unified Web penetration testing and SRC vulnerability hunting Skill. Model-driven threat modeling (12 dimensions), JSON 字段规范 state persistence, SRC/补天 compliant reporting with confirmed gate (3-layer ",这个技能特别简单——你只需要调用它，给一个网站域名，它就会自动帮你跑一遍渗透测试，找出这个网站存在哪些安全漏洞。 不需要你配环境、不用你手动发包，一切自动化。测完直接出结果，告诉你哪里有问题、怎么修。 它的愿景是：让每个人都能成为白帽黑客——只要输入一个域名，就能知道自己的网站安不安全。一切只为授权测试，只为发现漏洞、修复风险，让互联网更安全。,20,,,49093,0.824,it-ops-security,
35,cad-design-and-drafting,sh:cad-design-and-drafting,skillhub-cn,惠州顺视智能科技有限公司,,,,,,single,当用户要画 CAD 工程图、修改已有 DWG/DXF、转换图纸格式、规划设备与厂房平面，或制作带尺寸、标题栏、BOM、剖面线和制造标注的多页图册时使用。根据自然语言需求与实际参考文件，创建、修改并检查可编辑 DWG、DXF 和可打印 PDF。支持机械零件、设备与产线布局、电气与管道示意和结构草图；交付前完成文件回读与视觉检查。,当用户要画 CAD 工程图、修改已有 DWG/DXF、转换图纸格式、规划设备与厂房平面，或制作带尺寸、标题栏、BOM、剖面线和制造标注的多页图册时使用。根据自然语言需求与实际参考文件，创建、修改并检查可编辑 DWG、DXF 和可打印 PDF。支持机械零件、设备与产线布局、电气与管道示意和结构草图；交付前完成文件回读与视觉检查。,24,,,47107,0.817,design-media,
36,zlbx-bidding-payskill,sh:zlbx-bidding-payskill,skillhub-cn,北京百炼智能科技有限公司,,,,,,single,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、商机预测、推荐潜在投标供应商、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、分析竞争对手/竞对企业、查询Top采购单位/Top中标单位/Top中标品牌、招中标数据统计分析、查询品牌型号历史中标单价/价格趋势、市场分析/行业分析/采购寻源/渠道拓展等采购与,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、商机预测、推荐潜在投标供应商、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、分析竞争对手/竞对企业、查询Top采购单位/Top中标单位/Top中标品牌、招中标数据统计分析、查询品牌型号历史中标单价/价格趋势、市场分析/行业分析/采购寻源/渠道拓展等采购与,23,,,46282,0.815,data-analysis,
37,shanghai-ocean-university-hengsha-birdwatching,sh:shanghai-ocean-university-hengsha-birdwatching,skillhub-cn,,,,,,,single,面向横沙岛及长江口湿地的候鸟观察助手。当用户提到观鸟、候鸟、湿地观察、鸟类识别、物候记录、自然笔记、生态研学、写生采风、崇明三岛观鸟、横沙东滩等需求时使用。支持季节观鸟日历生成、鸟种识别辅助、物候打卡与观鸟笔记自动产出，贯穿生态保护伦理与观鸟行为规范，服务校内外实践、科普教育与生态旅游场景。,面向横沙岛及长江口湿地的候鸟观察助手。当用户提到观鸟、候鸟、湿地观察、鸟类识别、物候记录、自然笔记、生态研学、写生采风、崇明三岛观鸟、横沙东滩等需求时使用。支持季节观鸟日历生成、鸟种识别辅助、物候打卡与观鸟笔记自动产出，贯穿生态保护伦理与观鸟行为规范，服务校内外实践、科普教育与生态旅游场景。,16,,,45369,0.811,professional,
38,tender-search,sh:tender-search,skillhub-cn,,,,,,,single,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、查询拟建项目与立项审批阶段的早期商机、追踪某个项目各阶段进展与全流程时间线、商机预测、推荐潜在投标供应商、查询企业工商登记信息（统一社会信用代码/注册资本/法定代表人/经营范围/成立日期/登记机关/曾用名）、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、查询拟建项目与立项审批阶段的早期商机、追踪某个项目各阶段进展与全流程时间线、商机预测、推荐潜在投标供应商、查询企业工商登记信息（统一社会信用代码/注册资本/法定代表人/经营范围/成立日期/登记机关/曾用名）、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、,24,,,43545,0.807,business-ops,
39,ai-avatar-video,ss:qu-skills/superpowers/ai-avatar-video,skills.sh,qu-skills,qu-skills/superpowers,,https://www.skills.sh/qu-skills/superpowers/ai-avatar-video,https://github.com/qu-skills/superpowers,npx skills add https://github.com/qu-skills/superpowers --skill ai-avatar-video,single,,,23,216717,,,0.806,design-media,
