rank,slug,canonical_name,downloads,installs,stars,source,category,publisher,publisher_verified,certified_name,upstream_url,created_at,updated_at,version,description,description_zh
11,lingyi-wx-video-script-creator-plus,@org-28ib33ph/lingyi-wx-video-script-creator-plus,46568,0,23,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-05,2026-08-26,0.5.0,【零一数科·出品】视频号挂车爆单短视频脚本生成（付费版）。一条链接二创脚本，丢进爆款视频号链接即以此骨架改写成你的挂车脚本，或按方向/目的/商品原创多条口播脚本（含分段表、口播全文、六维质检评分），付费版远端生成。,【零一数科·出品】视频号挂车爆单短视频脚本生成（付费版）。一条链接二创脚本，丢进爆款视频号链接即以此骨架改写成你的挂车脚本，或按方向/目的/商品原创多条口播脚本（含分段表、口播全文、六维质检评分），付费版远端生成。
12,agent-browser,@zcwl/agent-browser,44560,0,0,enterprise,ai-agent,智创未来,true,成都智创未来教育管理合伙企业（有限合伙）,,2026-08-21,2026-08-26,0.1.0,"无头浏览器自动化CLI,为AI Agent优化,支持无障碍树快照与引用提取,精准网页操作","无头浏览器自动化CLI,为AI Agent优化,支持无障碍树快照与引用提取,精准网页操作"
13,sbkj,@org-wl7bwfbn/sbkj,44056,0,6,enterprise,business-ops,世舶科技,true,世舶科技（武汉）有限公司,,2026-07-30,2026-08-26,1.0.3,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用
14,lingyi-copy-de-ai-human-eval,@org-28ib33ph/lingyi-copy-de-ai-human-eval,42583,0,12,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-19,2026-08-26,0.2.0,【零一数科·出品】文案去AI味+真人点评（付费版）。把小红书/视频号/公众号/抖音文案改写得像真人写、消除 AI 痕迹降 AI 率，并模拟真实人群画像的读者逐段评估「哪里还像 AI、哪里不像人写」，给出人味打分与残留痕迹定位。别人只改不验，本品改完让真人评估把关。触发词：文案去AI味、社媒文案去AI、去AI味、降AI率、AI去痕、过AI检测、人味改写、真人评估、读者验收、真人试读。,【零一数科·出品】文案去AI味+真人点评（付费版）。把小红书/视频号/公众号/抖音文案改写得像真人写、消除 AI 痕迹降 AI 率，并模拟真实人群画像的读者逐段评估「哪里还像 AI、哪里不像人写」，给出人味打分与残留痕迹定位。别人只改不验，本品改完让真人评估把关。触发词：文案去AI味、社媒文案去AI、去AI味、降AI率、AI去痕、过AI检测、人味改写、真人评估、读者验收、真人试读。
15,beatra,@beatra-ai/beatra,40083,0,6,enterprise,design-media,beatra,true,乐萱同行科技（深圳）有限公司,,2026-08-05,2026-08-26,2.7.2,通过同一个AI创作工具完成AI图片、视频、音乐与语音创作，查找公开社交数据，编辑视觉成果，并集中查看和管理生成资产。Beatra 全能创作支持AI图片生成（文生图）、AI视频生成（图生视频）和AI视频编辑，通过AI音乐生成把想法做成歌曲或纯音乐，也可用AI语音生成（文字转语音）、多语言旁白和AI语音克隆完成跨媒介内容；还能查找抖音数据、小红书数据，以及 YouTube、TikTok、Instagr,通过同一个AI创作工具完成AI图片、视频、音乐与语音创作，查找公开社交数据，编辑视觉成果，并集中查看和管理生成资产。Beatra 全能创作支持AI图片生成（文生图）、AI视频生成（图生视频）和AI视频编辑，通过AI音乐生成把想法做成歌曲或纯音乐，也可用AI语音生成（文字转语音）、多语言旁白和AI语音克隆完成跨媒介内容；还能查找抖音数据、小红书数据，以及 YouTube、TikTok、Instagr
16,sbkj-official-en,@sbkj-bid/sbkj-official-en,38647,0,12,enterprise,data-analysis,世舶科技,true,世舶科技（武汉）有限公司,,2026-07-30,2026-08-26,1.0.2,招投标行业情报分析是世舶科技旗下保标招标网提供的招投标数据分析能力，支持按行业、地区、时间、项目分类、采购分类、项目金额等维度，对招标公告、中标公告、合同公告、政府采购、工程建设项目和企业采购数据进行统计分析，帮助用户快速了解招投标市场规模、采购趋势、区域分布、行业热度、客户结构和金额变化。 适用于行业研究、区域市场分析、招投标趋势分析、市场容量评估、客户结构分析、采购需求洞察、竞争格局判断和企业,招投标行业情报分析是世舶科技旗下保标招标网提供的招投标数据分析能力，支持按行业、地区、时间、项目分类、采购分类、项目金额等维度，对招标公告、中标公告、合同公告、政府采购、工程建设项目和企业采购数据进行统计分析，帮助用户快速了解招投标市场规模、采购趋势、区域分布、行业热度、客户结构和金额变化。 适用于行业研究、区域市场分析、招投标趋势分析、市场容量评估、客户结构分析、采购需求洞察、竞争格局判断和企业
17,sbkj-official-sales,@sbkj-bid/sbkj-official-sales,36494,0,7,enterprise,business-ops,世舶科技,true,世舶科技（武汉）有限公司,,2026-07-31,2026-08-26,1.0.1,销售线索发现与采购客户挖掘是世舶科技旗下保标招标网提供的招投标获客能力，支持从招标公告、采购意向、中标公告、合同公告、企业数据和历史采购记录中发现潜在采购客户，补充项目主体、采购单位、联系人、项目地区、采购内容、预算金额、中标供应商和跟进理由，帮助销售团队快速形成可跟进的销售线索清单。 适用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客、渠道拓展和重点客户开发。用户可通过保标,销售线索发现与采购客户挖掘是世舶科技旗下保标招标网提供的招投标获客能力，支持从招标公告、采购意向、中标公告、合同公告、企业数据和历史采购记录中发现潜在采购客户，补充项目主体、采购单位、联系人、项目地区、采购内容、预算金额、中标供应商和跟进理由，帮助销售团队快速形成可跟进的销售线索清单。 适用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客、渠道拓展和重点客户开发。用户可通过保标
18,corporate-legal,@org-02qudk26/corporate-legal,35601,0,2,enterprise,professional,智雨科技,true,上海智雨千泽科技有限公司,,2026-08-04,2026-08-26,1.0.0,帮助白领工作人员处理法律事务相关的重复任务，快速得到结构化、可复用的工作成果。,帮助白领工作人员处理法律事务相关的重复任务，快速得到结构化、可复用的工作成果。
19,lingyi-yunying-diaoyan-baogao,@org-28ib33ph/lingyi-yunying-diaoyan-baogao,34801,0,14,enterprise,data-analysis,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-12,2026-08-26,0.7.0,【零一数科·出品】：社媒运营调研报告（付费版）。自动扒竞品社媒打法，一键出调研报告——你只给品牌和关键词，我就能去抖音/视频号采集真实视频素材，现造任务专属分析框架，生成含数据基础、打法拆解、合规话术、可执行建议的 Markdown 报告。适合做社媒运营调研、竞品对标、内容选题与爆款公式提炼。需要 python3 和技能目录 config.json 里的 LY_API_KEY。,【零一数科·出品】：社媒运营调研报告（付费版）。自动扒竞品社媒打法，一键出调研报告——你只给品牌和关键词，我就能去抖音/视频号采集真实视频素材，现造任务专属分析框架，生成含数据基础、打法拆解、合规话术、可执行建议的 Markdown 报告。适合做社媒运营调研、竞品对标、内容选题与爆款公式提炼。需要 python3 和技能目录 config.json 里的 LY_API_KEY。
20,ai-audiobook-narration,@beatra-ai/ai-audiobook-narration,33260,0,5,enterprise,design-media,beatra,true,乐萱同行科技（深圳）有限公司,,2026-08-07,2026-08-26,0.1.9,把最终长篇书稿或课程讲稿，通过 AI 有声书生成和长文本转语音，按章节制作成有声读物。先整理章节顺序和人名、术语的读法，选择适合长时间聆听的旁白，用一个有代表性的样章试听声音、节奏和音频格式，再按顺序完成其余内容。适合文字转有声书、AI 有声书制作、课程旁白和整本一致播读，并提供当前费用估算、按章节分段交付、音色试听与聚焦片段的读音调整。,把最终长篇书稿或课程讲稿，通过 AI 有声书生成和长文本转语音，按章节制作成有声读物。先整理章节顺序和人名、术语的读法，选择适合长时间聆听的旁白，用一个有代表性的样章试听声音、节奏和音频格式，再按顺序完成其余内容。适合文字转有声书、AI 有声书制作、课程旁白和整本一致播读，并提供当前费用估算、按章节分段交付、音色试听与聚焦片段的读音调整。
21,ecommerce-listing-image-set,@beatra-ai/ecommerce-listing-image-set,30252,0,8,enterprise,design-media,beatra,true,乐萱同行科技（深圳）有限公司,,2026-08-09,2026-08-26,0.1.4,基于真实商品照片和已确认 SKU 信息，制作一套统一的 AI 电商上架套图。为新品上架、商品详情页、店铺首页和跨境电商 Listing 准备商品主图、卖点图、商品详情图、商品场景图、尺寸展示图和包装清单图；适合亚马逊Listing图片、淘宝商品图、Shopify产品图、Etsy商品图片和独立站商品展示。,基于真实商品照片和已确认 SKU 信息，制作一套统一的 AI 电商上架套图。为新品上架、商品详情页、店铺首页和跨境电商 Listing 准备商品主图、卖点图、商品详情图、商品场景图、尺寸展示图和包装清单图；适合亚马逊Listing图片、淘宝商品图、Shopify产品图、Etsy商品图片和独立站商品展示。
22,bid-proposal-compliance-assistant,@org-mbvufw6y/bid-proposal-compliance-assistant,29724,0,2,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-26,1.0.2,标书合规审查助手。需配置世舶科技 API Key 使用。用于检查标书是否符合招标文件要求，重点关注资格、格式、响应、签章和时间要求。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,标书合规审查助手。需配置世舶科技 API Key 使用。用于检查标书是否符合招标文件要求，重点关注资格、格式、响应、签章和时间要求。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机
23,bid-document-preparation-assistant,@org-mbvufw6y/bid-document-preparation-assistant,29659,0,2,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-26,1.0.2,投标文件编制智能助手。需配置世舶科技 API Key 使用。用于辅助编制投标文件，梳理响应目录、商务技术材料、格式要求和缺失项。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招,投标文件编制智能助手。需配置世舶科技 API Key 使用。用于辅助编制投标文件，梳理响应目录、商务技术材料、格式要求和缺失项。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招
24,bid-proposal-full-process-expert,@org-mbvufw6y/bid-proposal-full-process-expert,29404,0,4,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-26,1.0.2,标书制作全流程专家。需配置世舶科技 API Key 使用。用于覆盖标书制作全流程，从招标文件解析、目录规划、材料清单到检查交付。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招,标书制作全流程专家。需配置世舶科技 API Key 使用。用于覆盖标书制作全流程，从招标文件解析、目录规划、材料清单到检查交付。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招
25,tender-document-deep-reading-assistant,@org-mbvufw6y/tender-document-deep-reading-assistant,29190,0,2,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-26,1.0.3,招标文件深度解读助手。需配置世舶科技 API Key 使用，用于对复杂招标文件做深度解读，拆解关键条款、评分策略、风险点和响应建议。当用户需要招投标查询、中标分析、合同公告、拟在建项目、采购单位画像、供应商画像、商机发现、市场趋势或企业招投标数据分析时触发。基于世舶科技全国全行业招投标数据 API，覆盖累计3.3亿+招投标信息、年度更新6600万+招投标数据、实时日更新30万+招投标商机、10万+,招标文件深度解读助手。需配置世舶科技 API Key 使用，用于对复杂招标文件做深度解读，拆解关键条款、评分策略、风险点和响应建议。当用户需要招投标查询、中标分析、合同公告、拟在建项目、采购单位画像、供应商画像、商机发现、市场趋势或企业招投标数据分析时触发。基于世舶科技全国全行业招投标数据 API，覆盖累计3.3亿+招投标信息、年度更新6600万+招投标数据、实时日更新30万+招投标商机、10万+
26,national-bid-company-profile,@org-mbvufw6y/national-bid-company-profile,29188,0,2,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-26,1.0.4,全国招中标查询与企业画像。需配置世舶科技 API Key 使用，用于查询全国招中标项目并结合企业画像能力，分析企业中标记录、客户、供应商和联系方式线索。当用户需要招投标查询、中标分析、合同公告、拟在建项目、采购单位画像、供应商画像、商机发现、市场趋势或企业招投标数据分析时触发。基于世舶科技全国全行业招投标数据 API，覆盖累计3.3亿+招投标信息、年度更新6600万+招投标数据、实时日更新30万+,全国招中标查询与企业画像。需配置世舶科技 API Key 使用，用于查询全国招中标项目并结合企业画像能力，分析企业中标记录、客户、供应商和联系方式线索。当用户需要招投标查询、中标分析、合同公告、拟在建项目、采购单位画像、供应商画像、商机发现、市场趋势或企业招投标数据分析时触发。基于世舶科技全国全行业招投标数据 API，覆盖累计3.3亿+招投标信息、年度更新6600万+招投标数据、实时日更新30万+
27,taitoubiao-proposal-smart-assistant,@org-mbvufw6y/taitoubiao-proposal-smart-assistant,28976,0,2,enterprise,data-analysis,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-26,1.0.2,钛投标标书智能助手。需配置世舶科技 API Key 使用。用于用于智能投标和标书处理，辅助解读招标要求、编写投标内容和检查合规风险。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,钛投标标书智能助手。需配置世舶科技 API Key 使用。用于用于智能投标和标书处理，辅助解读招标要求、编写投标内容和检查合规风险。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机
28,national-bid-ai-analyzer,@org-mbvufw6y/national-bid-ai-analyzer,28920,0,2,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-26,1.0.4,全国招中标查询AI分析器。需配置世舶科技 API Key 使用，用于查询全国招中标数据并进行AI分析，适合总结项目重点、市场机会和竞争关系。当用户需要招投标查询、中标分析、合同公告、拟在建项目、采购单位画像、供应商画像、商机发现、市场趋势或企业招投标数据分析时触发。基于世舶科技全国全行业招投标数据 API，覆盖累计3.3亿+招投标信息、年度更新6600万+招投标数据、实时日更新30万+招投标商机、,全国招中标查询AI分析器。需配置世舶科技 API Key 使用，用于查询全国招中标数据并进行AI分析，适合总结项目重点、市场机会和竞争关系。当用户需要招投标查询、中标分析、合同公告、拟在建项目、采购单位画像、供应商画像、商机发现、市场趋势或企业招投标数据分析时触发。基于世舶科技全国全行业招投标数据 API，覆盖累计3.3亿+招投标信息、年度更新6600万+招投标数据、实时日更新30万+招投标商机、
29,sbkj-official-subscribe,@sbkj-bid/sbkj-official-subscribe,28849,0,4,enterprise,business-ops,世舶科技,true,世舶科技（武汉）有限公司,,2026-07-31,2026-08-26,1.0.1,标讯搜索订阅与项目提醒是世舶科技提供的招投标信息监测能力，支持搜索、筛选、去重并整理招标公告、中标公告、采购意向、合同公告、变更公告、候选人公示等标讯数据，帮助用户快速获取符合条件的项目线索，并生成可重复执行的订阅条件和增量更新清单。 适用于查标讯、订阅标讯、每日商机推送、项目提醒、招标公告跟踪、中标结果监测、采购意向跟进、合同公告查询、按关键词持续监测、按地区持续监测和重点行业商机订阅。用户可按,标讯搜索订阅与项目提醒是世舶科技提供的招投标信息监测能力，支持搜索、筛选、去重并整理招标公告、中标公告、采购意向、合同公告、变更公告、候选人公示等标讯数据，帮助用户快速获取符合条件的项目线索，并生成可重复执行的订阅条件和增量更新清单。 适用于查标讯、订阅标讯、每日商机推送、项目提醒、招标公告跟踪、中标结果监测、采购意向跟进、合同公告查询、按关键词持续监测、按地区持续监测和重点行业商机订阅。用户可按
30,tender-parser-bid-assist-ai,@org-mbvufw6y/tender-parser-bid-assist-ai,28846,0,2,enterprise,business-ops,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-26,1.0.3,招标文件解析投标辅助AI助手。需配置世舶科技 API Key 使用。用于解析招标文件并辅助投标准备，输出响应清单、风险点、材料要求和写作建议。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+,招标文件解析投标辅助AI助手。需配置世舶科技 API Key 使用。用于解析招标文件并辅助投标准备，输出响应清单、风险点、材料要求和写作建议。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+
31,tender-document-smart-parser,@org-mbvufw6y/tender-document-smart-parser,28780,0,2,enterprise,data-analysis,精英量界,true,精英量界（武汉）工程管理有限公司,,2026-08-17,2026-08-26,1.0.4,招标文件智能解析器。需配置世舶科技 API Key 使用，用于解析招标文件，提取项目概况、采购需求、资格条件、评分标准、时间节点和附件要求。当用户需要招投标查询、中标分析、合同公告、拟在建项目、采购单位画像、供应商画像、商机发现、市场趋势或企业招投标数据分析时触发。基于世舶科技全国全行业招投标数据 API，覆盖累计3.3亿+招投标信息、年度更新6600万+招投标数据、实时日更新30万+招投标商机、,招标文件智能解析器。需配置世舶科技 API Key 使用，用于解析招标文件，提取项目概况、采购需求、资格条件、评分标准、时间节点和附件要求。当用户需要招投标查询、中标分析、合同公告、拟在建项目、采购单位画像、供应商画像、商机发现、市场趋势或企业招投标数据分析时触发。基于世舶科技全国全行业招投标数据 API，覆盖累计3.3亿+招投标信息、年度更新6600万+招投标数据、实时日更新30万+招投标商机、
