rank,skill,platform,vendor,source_skillssh,slug_clawhub,url,match,description,description_zh,first_seen_days,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score
11,obsidian,skillhub-cn,成都智创未来教育管理合伙企业（有限合伙）,,,,single,"Obsidian笔记库即磁盘文件夹,直接管理","Obsidian笔记库即磁盘文件夹,直接管理",27,,,85325,0.915
12,viral-video-teardown-remake,skillhub-cn,乐萱同行科技（深圳）有限公司,,,,single,把一条已经跑出来的短视频，变成你自己的那一条。参考视频可以是文件、截图或你自己的描述，也可以直接粘一个视频链接——抖音、TikTok、小红书、Instagram、YouTube、X 都能读到标题文案、作者、公开数据和评论区留言；YouTube 还支持字幕提取，拿到整段逐字稿。爆款短视频拆解与复刻工作流：逐段拆出钩子、中段节奏和转化引导，判定它属于哪一类脚本结构，说清它到底靠什么跑起来，再把这套骨架,把一条已经跑出来的短视频，变成你自己的那一条。参考视频可以是文件、截图或你自己的描述，也可以直接粘一个视频链接——抖音、TikTok、小红书、Instagram、YouTube、X 都能读到标题文案、作者、公开数据和评论区留言；YouTube 还支持字幕提取，拿到整段逐字稿。爆款短视频拆解与复刻工作流：逐段拆出钩子、中段节奏和转化引导，判定它属于哪一类脚本结构，说清它到底靠什么跑起来，再把这套骨架,14,,,75178,0.905
13,biaoshu-bailian,skillhub-cn,北京百炼智能科技有限公司,,,,single,百炼®标书是一个面向投标场景标书写作的skill，可以帮用户完成四件事：解读招标文件、生成投标文件、审查投标文件合规风险以及标书查重。它适合用自然语言直接写作，用户只要提供文件和需求，就能拿到解读结果、成品标书、审查报告、查重报告。百炼®标书官网:https://biaoshu.zhiliaobiaoxun.com,百炼®标书是一个面向投标场景标书写作的skill，可以帮用户完成四件事：解读招标文件、生成投标文件、审查投标文件合规风险以及标书查重。它适合用自然语言直接写作，用户只要提供文件和需求，就能拿到解读结果、成品标书、审查报告、查重报告。百炼®标书官网:https://biaoshu.zhiliaobiaoxun.com,27,,,67646,0.894
14,lskj-recommend,skillhub-cn,武汉览山科技有限公司,,,,single,查询并分析与企业产品或服务匹配的招投标潜在项目、采购意向、招标公告和拟在建项目，获取全量项目列表后按业务匹配度、项目阶段、时效、地区和金额评分，输出 A/B/C 推荐等级、等级汇总、项目详情、采集源网址和跟进建议。用于招投标项目推荐、投标商机筛选、销售线索挖掘、采购机会发现、拟在建项目跟踪和市场拓客；不用于单纯查询指定项目或生成企业研究报告。,查询并分析与企业产品或服务匹配的招投标潜在项目、采购意向、招标公告和拟在建项目，获取全量项目列表后按业务匹配度、项目阶段、时效、地区和金额评分，输出 A/B/C 推荐等级、等级汇总、项目详情、采集源网址和跟进建议。用于招投标项目推荐、投标商机筛选、销售线索挖掘、采购机会发现、拟在建项目跟踪和市场拓客；不用于单纯查询指定项目或生成企业研究报告。,24,,,65749,0.891
15,telehot-bid-compliance-check,skillhub-cn,江苏天好富兴数据技术有限公司,,,,single,天好标书检查skill用于检验投标文件是否满足招标文件要求，排查废标风险并输出符合性检查报告。当用户要求检查、审查、核对、体检投标文件或标书，比对招标文件与投标文件，排查废标项、符合性问题、响应遗漏或评分点缺失，生成响应矩阵、问题清单或整改清单时使用。输入前提以用户上传的文件为准：只上传招标文件、要求解析/提炼招标文件时，仅执行招标文件解析（要求清单、废标条款、评分办法、关键时间节点），不做符合性,天好标书检查skill用于检验投标文件是否满足招标文件要求，排查废标风险并输出符合性检查报告。当用户要求检查、审查、核对、体检投标文件或标书，比对招标文件与投标文件，排查废标项、符合性问题、响应遗漏或评分点缺失，生成响应矩阵、问题清单或整改清单时使用。输入前提以用户上传的文件为准：只上传招标文件、要求解析/提炼招标文件时，仅执行招标文件解析（要求清单、废标条款、评分办法、关键时间节点），不做符合性,10,,,65279,0.889
16,lskj-official-sales,skillhub-cn,武汉览山科技有限公司,,,,single,销售线索挖掘，该skill用于从招标、采购意向、中标和企业数据中发现潜在采购客户，补充项目主体、联系人和跟进理由，并形成销售线索清单。用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客等需求。需配置世舶科技 API Key 使用，面向销售获客、CRM客户商机、采购线索挖掘、区域商机筛选和项目型销售拓展，从招标公告、采购意向、中标公告、候选人公示、合同公告、政府采购、工程建设、企,销售线索挖掘，该skill用于从招标、采购意向、中标和企业数据中发现潜在采购客户，补充项目主体、联系人和跟进理由，并形成销售线索清单。用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客等需求。需配置世舶科技 API Key 使用，面向销售获客、CRM客户商机、采购线索挖掘、区域商机筛选和项目型销售拓展，从招标公告、采购意向、中标公告、候选人公示、合同公告、政府采购、工程建设、企,23,,,59174,0.874
17,lskj-official-analyze,skillhub-cn,武汉览山科技有限公司,,,,single,按行业、地区、时间、项目分类、采购分类和金额分析招投标及合同数据，输出统计口径、趋势和结构。用于行业研究、区域市场分析、招投标趋势、市场容量观察、客户结构分析和经营决策支持。需配置世舶科技 API Key 使用，面向招投标行业情报、区域市场、价格行情、客户结构和竞争格局分析，覆盖招标公告、中标公告、中标候选人、政府采购、工程建设、企业采购、采购意向、合同公告、变更公告、废标流标、拟在建项目、临期项,按行业、地区、时间、项目分类、采购分类和金额分析招投标及合同数据，输出统计口径、趋势和结构。用于行业研究、区域市场分析、招投标趋势、市场容量观察、客户结构分析和经营决策支持。需配置世舶科技 API Key 使用，面向招投标行业情报、区域市场、价格行情、客户结构和竞争格局分析，覆盖招标公告、中标公告、中标候选人、政府采购、工程建设、企业采购、采购意向、合同公告、变更公告、废标流标、拟在建项目、临期项,22,,,58126,0.871
18,design-mobile-apps,skills.sh,designed-by-ai,designed-by-ai/skills,,https://www.skills.sh/designed-by-ai/skills/design-mobile-apps,single,,,16,313688,,,0.868
19,totorosir-workbuddy-checkin,skillhub-cn,,,,,single,"WorkBuddy签到助手（WorkBuddy「Buddy 加油站」每日签到自动化 Skill，接口直签，无需点击 GUI，跨平台支持 Windows / macOS / Linux）。当用户说""每天自动签到 WorkBuddy / 每日签到 / 自动领 Buddy 加油站积分 / 自动领 100 积分 / 设置 WorkBuddy 每日签到 / WorkBuddy 打卡 / 自动打卡 WorkB","WorkBuddy签到助手（WorkBuddy「Buddy 加油站」每日签到自动化 Skill，接口直签，无需点击 GUI，跨平台支持 Windows / macOS / Linux）。当用户说""每天自动签到 WorkBuddy / 每日签到 / 自动领 Buddy 加油站积分 / 自动领 100 积分 / 设置 WorkBuddy 每日签到 / WorkBuddy 打卡 / 自动打卡 WorkB",16,,,51832,0.854
20,opentwitter-mcp,clawhub,,,opentwitter-mcp,,single,"Twitter/X data via the 6551 API. Supports user profiles, tweet search, user tweets, follower events, deleted tweets, and KOL followers.",,23,,22527,,0.842
21,opennews-mcp,clawhub,,,opennews-mcp,,single,"Real-time crypto, equities, macro, and financial market news aggregator — 85+ data sources across 6 categories covering digital assets, U.S. stocks, semiconductors, AI infrastructure, supply chains, c",,23,,22301,,0.84
22,pentest,skillhub-cn,,,,,single,"Unified Web penetration testing and SRC vulnerability hunting Skill. Model-driven threat modeling (12 dimensions), JSON 字段规范 state persistence, SRC/补天 compliant reporting with confirmed gate (3-layer ",这个技能特别简单——你只需要调用它，给一个网站域名，它就会自动帮你跑一遍渗透测试，找出这个网站存在哪些安全漏洞。 不需要你配环境、不用你手动发包，一切自动化。测完直接出结果，告诉你哪里有问题、怎么修。 它的愿景是：让每个人都能成为白帽黑客——只要输入一个域名，就能知道自己的网站安不安全。一切只为授权测试，只为发现漏洞、修复风险，让互联网更安全。,15,,,48625,0.838
23,xique-ai,skillhub-cn,北京喜鹊云智科技有限公司,,,,single,喜鹊标书助手是一款面向 WorkBuddy 用户的智能标书工具。上传招标文件后，用户可以按需配置篇幅、写作方式、图文风格和表格样式，逐步完成大纲规划、目录预览与修改、正文生成，并实时查看任务进度。生成完成后，还支持在线调整内容和排版，最终一键导出 Word 标书，帮助用户更高效地完成从文件解析到成稿交付的全过程。 请登录喜鹊AI标书官网获取Apikey：https://www.xiquebiaos,喜鹊标书助手是一款面向 WorkBuddy 用户的智能标书工具。上传招标文件后，用户可以按需配置篇幅、写作方式、图文风格和表格样式，逐步完成大纲规划、目录预览与修改、正文生成，并实时查看任务进度。生成完成后，还支持在线调整内容和排版，最终一键导出 Word 标书，帮助用户更高效地完成从文件解析到成稿交付的全过程。 请登录喜鹊AI标书官网获取Apikey：https://www.xiquebiaos,19,,,47071,0.834
24,ai-video-generation,skills.sh,101-skills,101-skills/superpowers,,https://www.skills.sh/101-skills/superpowers/ai-video-generation,single,,,20,252083,,,0.832
25,twitter-automation,skills.sh,101-skills,101-skills/superpowers,,https://www.skills.sh/101-skills/superpowers/twitter-automation,single,,,20,251793,,,0.832
26,ai-image-generation,skills.sh,101-skills,101-skills/superpowers,,https://www.skills.sh/101-skills/superpowers/ai-image-generation,single,,,20,251645,,,0.831
27,ai-avatar-video,skills.sh,101-skills,101-skills/superpowers,,https://www.skills.sh/101-skills/superpowers/ai-avatar-video,single,,,20,251485,,,0.83
28,shanghai-ocean-university-hengsha-birdwatching,skillhub-cn,,,,,single,面向横沙岛及长江口湿地的候鸟观察助手。当用户提到观鸟、候鸟、湿地观察、鸟类识别、物候记录、自然笔记、生态研学、写生采风、崇明三岛观鸟、横沙东滩等需求时使用。支持季节观鸟日历生成、鸟种识别辅助、物候打卡与观鸟笔记自动产出，贯穿生态保护伦理与观鸟行为规范，服务校内外实践、科普教育与生态旅游场景。,面向横沙岛及长江口湿地的候鸟观察助手。当用户提到观鸟、候鸟、湿地观察、鸟类识别、物候记录、自然笔记、生态研学、写生采风、崇明三岛观鸟、横沙东滩等需求时使用。支持季节观鸟日历生成、鸟种识别辅助、物候打卡与观鸟笔记自动产出，贯穿生态保护伦理与观鸟行为规范，服务校内外实践、科普教育与生态旅游场景。,11,,,45201,0.828
29,handwritten-newspaper-template-generator-showapi,skillhub-cn,昆明秀派科技有限公司,,,,single,根据主题、年级和画面比例，自动生成符合A4打印标准的手抄报黑白线稿模板；适用于小学手抄报作业辅助、主题黑板报线稿设计、儿童涂色填字模板生成场景,根据主题、年级和画面比例，自动生成符合A4打印标准的手抄报黑白线稿模板；适用于小学手抄报作业辅助、主题黑板报线稿设计、儿童涂色填字模板生成场景,22,,,44742,0.827
30,wan-3-0-prime-reference-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/wan-3-0-prime-reference-to-video,single,,,16,236474,,,0.824
31,cad-design-and-drafting,skillhub-cn,惠州顺视智能科技有限公司,,,,single,当用户要画 CAD 工程图、修改已有 DWG/DXF、转换图纸格式、规划设备与厂房平面，或制作带尺寸、标题栏、BOM、剖面线和制造标注的多页图册时使用。根据自然语言需求与实际参考文件，创建、修改并检查可编辑 DWG、DXF 和可打印 PDF。支持机械零件、设备与产线布局、电气与管道示意和结构草图；交付前完成文件回读与视觉检查。,当用户要画 CAD 工程图、修改已有 DWG/DXF、转换图纸格式、规划设备与厂房平面，或制作带尺寸、标题栏、BOM、剖面线和制造标注的多页图册时使用。根据自然语言需求与实际参考文件，创建、修改并检查可编辑 DWG、DXF 和可打印 PDF。支持机械零件、设备与产线布局、电气与管道示意和结构草图；交付前完成文件回读与视觉检查。,19,,,43184,0.823
32,seedance-2-5-image-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/seedance-2-5-image-to-video,single,,,16,236302,,,0.823
33,seedance-2-5-reference-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/seedance-2-5-reference-to-video,single,,,16,236007,,,0.822
34,zlbx-bidding,skillhub-cn,,,,,single,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、商机预测、推荐潜在投标供应商、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、分析竞争对手/竞对企业、查询Top采购单位/Top中标单位/Top中标品牌、招中标数据统计分析（按月/季/年/省份/品牌等维度）、查询品牌型号历史中标单价/价格趋势、市场分析/行,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、商机预测、推荐潜在投标供应商、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、分析竞争对手/竞对企业、查询Top采购单位/Top中标单位/Top中标品牌、招中标数据统计分析（按月/季/年/省份/品牌等维度）、查询品牌型号历史中标单价/价格趋势、市场分析/行,19,,,40358,0.813
35,zhiliao-official-tender-assistant,skillhub-cn,北京百炼智能科技有限公司,,,,single,知了标讯官方招投标数据助手，覆盖招标公告与中标结果查询、企业工商与招中标画像、竞争对手分析、市场趋势统计、Top采购/中标单位与品牌、历史中标价格、临期项目商机挖掘等。当用户涉及招投标、政府采购、中标查询、供应商/竞对分析、采购市场研究等任何场景时，必须使用此SKILL；即使未出现「招投标」字样，只要涉及中标、采购、供应商、竞对、市场份额等需求均应使用。,知了标讯官方招投标数据助手，覆盖招标公告与中标结果查询、企业工商与招中标画像、竞争对手分析、市场趋势统计、Top采购/中标单位与品牌、历史中标价格、临期项目商机挖掘等。当用户涉及招投标、政府采购、中标查询、供应商/竞对分析、采购市场研究等任何场景时，必须使用此SKILL；即使未出现「招投标」字样，只要涉及中标、采购、供应商、竞对、市场份额等需求均应使用。,14,,,40294,0.811
36,shanghai-ocean-university-hengsha-cycling-planner,skillhub-cn,,,,,single,面向上海崇明横沙岛慢行旅行的一站式骑行规划助手。基于团队规模、活动时长、出行日期与出行场景（校内外实践、写生采风、团建等），生成含「上海客轮长横航线及吴淞航线售票」小程序直链、「生态横沙」公众号交通查询入口、携程/美团/飞猪三平台民宿可执行搜索链接、高德/百度/Apple Maps 导航直链、电动公交接驳、骑行路线串联、特色点位（海岛艺术田园、越野卡丁车、横沙渔港等）的个性化行程方案；附半日/一日,上海还有座岛：没有网约车、没有红绿灯，只有30公里江堤等你骑完。横沙岛骑行规划Skill，输入需求直接出方案——上海海洋大学校友写给所有想上岛的人。,11,,,38557,0.804
37,fengyupentest,skillhub-cn,上海逢俞网络科技有限公司,,,,single,# 「砺刃」 授权场景下，将红队实战能力转化为可直接提交的SRC有效战果。 面向**授权渗透测试、补天、厂商SRC及众测平台**打造的一体化挖洞工具链。 融合 pentest‑lyan 工程化渗透方法论与 src‑vuln‑hunting 实战提交规范；支持模型自主威胁建模，本地持久化任务状态，全流程支持断点续测。 ## 核心能力 - 12维系统化威胁建模：覆盖数据流、权限边界、资源归属、状态,# 「砺刃」 授权场景下，将红队实战能力转化为可直接提交的SRC有效战果。 面向**授权渗透测试、补天、厂商SRC及众测平台**打造的一体化挖洞工具链。 融合 pentest‑lyan 工程化渗透方法论与 src‑vuln‑hunting 实战提交规范；支持模型自主威胁建模，本地持久化任务状态，全流程支持断点续测。 ## 核心能力 - 12维系统化威胁建模：覆盖数据流、权限边界、资源归属、状态,15,,,38205,0.801
38,wind-mcp-skill,skills.sh,wind-alice,wind-alice/alicemarket,,https://www.skills.sh/wind-alice/alicemarket/wind-mcp-skill,single,,,11,165929,,,0.794
39,lskj-official-ztbdata,skillhub-cn,武汉览山科技有限公司,,,,single,全国招投标数据商机查询助手。用户涉及招标、中标、采购意向、合同、项目详情、附件、拟在建项目、企业画像、联系人、客户供应商关系、自然语言查标、行业推理、标讯分类、文本结构化、项目甄别、销售获客、竞品监测或行业分析时使用本 Skill；即使用户未提到世舶科技，只要需求属于上述招投标数据场景，也使用本 Skill 选择正确接口并按需加载对应场景模块。需配置世舶科技 API Key 使用，面向全国招标中标,全国招投标数据商机查询助手。用户涉及招标、中标、采购意向、合同、项目详情、附件、拟在建项目、企业画像、联系人、客户供应商关系、自然语言查标、行业推理、标讯分类、文本结构化、项目甄别、销售获客、竞品监测或行业分析时使用本 Skill；即使用户未提到世舶科技，只要需求属于上述招投标数据场景，也使用本 Skill 选择正确接口并按需加载对应场景模块。需配置世舶科技 API Key 使用，面向全国招标中标,25,,,37325,0.794
40,lskj-official-subscribe,skillhub-cn,武汉览山科技有限公司,,,,single,全国招投标标讯搜索与订阅提醒，通过搜索、筛选、去重并整理招标、中标、采购意向、合同等标讯，生成可重复执行的订阅条件和增量清单。用于用户提出查标讯、订阅标讯、每日商机、项目提醒、招标公告跟踪、按关键词或地区持续监测等需求。需配置世舶科技 API Key 使用，面向全国招标中标查询、项目订阅、接口调用、数据检索和结果整理，覆盖招标公告、中标公告、中标候选人、政府采购、工程建设、企业采购、采购意向、合同,全国招投标标讯搜索与订阅提醒，通过搜索、筛选、去重并整理招标、中标、采购意向、合同等标讯，生成可重复执行的订阅条件和增量清单。用于用户提出查标讯、订阅标讯、每日商机、项目提醒、招标公告跟踪、按关键词或地区持续监测等需求。需配置世舶科技 API Key 使用，面向全国招标中标查询、项目订阅、接口调用、数据检索和结果整理，覆盖招标公告、中标公告、中标候选人、政府采购、工程建设、企业采购、采购意向、合同,25,,,36313,0.782
41,zlbx-bidding-payskill,skillhub-cn,北京百炼智能科技有限公司,,,,single,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、商机预测、推荐潜在投标供应商、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、分析竞争对手/竞对企业、查询Top采购单位/Top中标单位/Top中标品牌、招中标数据统计分析、查询品牌型号历史中标单价/价格趋势、市场分析/行业分析/采购寻源/渠道拓展等采购与,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、商机预测、推荐潜在投标供应商、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、分析竞争对手/竞对企业、查询Top采购单位/Top中标单位/Top中标品牌、招中标数据统计分析、查询品牌型号历史中标单价/价格趋势、市场分析/行业分析/采购寻源/渠道拓展等采购与,18,,,35727,0.78
42,tender-search,skillhub-cn,,,,,single,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、商机预测、推荐潜在投标供应商、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、分析竞争对手/竞对企业、查询Top采购单位/Top中标单位/Top中标品牌、招中标数据统计分析（按月/季/年/省份/品牌等维度）、查询品牌型号历史中标单价/价格趋势、市场分析/行,全网招中标数据查询与分析助手。当用户涉及以下任何场景时，必须使用此SKILL：查询招标/中标公告、搜索标讯、查找临期/即将到期项目、商机预测、推荐潜在投标供应商、分析公司主营业务/历史中标、查询公司上下游合作客户与供应商、分析竞争对手/竞对企业、查询Top采购单位/Top中标单位/Top中标品牌、招中标数据统计分析（按月/季/年/省份/品牌等维度）、查询品牌型号历史中标单价/价格趋势、市场分析/行,19,,,35513,0.779
43,ai-avatar-video,skills.sh,qu-skills,qu-skills/superpowers,,https://www.skills.sh/qu-skills/superpowers/ai-avatar-video,single,,,18,120820,,,0.772
44,twitter-automation,skills.sh,qu-skills,qu-skills/superpowers,,https://www.skills.sh/qu-skills/superpowers/twitter-automation,single,,,18,120455,,,0.772
45,ai-video-generation,skills.sh,qu-skills,qu-skills/superpowers,,https://www.skills.sh/qu-skills/superpowers/ai-video-generation,single,,,18,120265,,,0.771
46,ai-image-generation,skills.sh,qu-skills,qu-skills/superpowers,,https://www.skills.sh/qu-skills/superpowers/ai-image-generation,single,,,18,120264,,,0.77
47,retro,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/retro,single,,,27,110853,,,0.762
