rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,first_seen_days,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score
11,sbkj-official-subscribe,skillhub-cn,世舶科技（武汉）有限公司,,,single,标讯搜索订阅与项目提醒是世舶科技提供的招投标信息监测能力，支持搜索、筛选、去重并整理招标公告、中标公告、采购意向、合同公告、变更公告、候选人公示等标讯数据，帮助用户快速获取符合条件的项目线索，并生成可重复执行的订阅条件和增量更新清单。 适用于查标讯、订阅标讯、每日商机推送、项目提醒、招标公告跟踪、中标结果监测、采购意向跟进、合同公告查询、按关键词持续监测、按地区持续监测和重点行业商机订阅。用户可按,标讯搜索订阅与项目提醒是世舶科技提供的招投标信息监测能力，支持搜索、筛选、去重并整理招标公告、中标公告、采购意向、合同公告、变更公告、候选人公示等标讯数据，帮助用户快速获取符合条件的项目线索，并生成可重复执行的订阅条件和增量更新清单。 适用于查标讯、订阅标讯、每日商机推送、项目提醒、招标公告跟踪、中标结果监测、采购意向跟进、合同公告查询、按关键词持续监测、按地区持续监测和重点行业商机订阅。用户可按,3,,,28651,0.808
12,national-bid-ai-analyzer,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,全国招中标查询AI分析器。需配置世舶科技 API Key 使用。用于查询全国招中标数据并进行AI分析，适合总结项目重点、市场机会和竞争关系。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招,全国招中标查询AI分析器。需配置世舶科技 API Key 使用。用于查询全国招中标数据并进行AI分析，适合总结项目重点、市场机会和竞争关系。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招,3,,,28621,0.807
13,tender-document-deep-reading-assistant,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,招标文件深度解读助手。需配置世舶科技 API Key 使用。用于对复杂招标文件做深度解读，拆解关键条款、评分策略、风险点和响应建议。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,招标文件深度解读助手。需配置世舶科技 API Key 使用。用于对复杂招标文件做深度解读，拆解关键条款、评分策略、风险点和响应建议。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,3,,,28569,0.806
14,sbkj-official-monitor,skillhub-cn,世舶科技（武汉）有限公司,,,single,竞争对手监测与重点企业预警是世舶科技对外提供的企业动态跟踪能力，支持按企业名称持续监测招标公告、中标公告、中标候选人、合同公告、合作客户、供应商关系和关联项目变化，帮助用户及时掌握竞品企业动态、客户采购行为、投标结果和项目进展。 适用于竞争对手监测、客户采购动态跟踪、投标结果跟进、中标企业分析、合同续期观察、重点企业预警和市场竞争分析。用户可跟踪目标企业近期参与项目、中标项目、候选人信息、合同金额,竞争对手监测与重点企业预警是世舶科技对外提供的企业动态跟踪能力，支持按企业名称持续监测招标公告、中标公告、中标候选人、合同公告、合作客户、供应商关系和关联项目变化，帮助用户及时掌握竞品企业动态、客户采购行为、投标结果和项目进展。 适用于竞争对手监测、客户采购动态跟踪、投标结果跟进、中标企业分析、合同续期观察、重点企业预警和市场竞争分析。用户可跟踪目标企业近期参与项目、中标项目、候选人信息、合同金额,3,,,28493,0.804
15,sbkj-official-portrait,skillhub-cn,世舶科技（武汉）有限公司,,,single,企业画像与关系网络分析是世舶科技对外提供的能力，同时对外提供的企业数据分析能力，支持查询企业基本信息、联系方式、招投标记录、中标统计、采购记录、合作客户、供应商关系、关联项目和历史交易数据，帮助用户快速了解目标企业的业务范围、市场活跃度、合作网络和上下游关系。 适用于客户尽调、供应商分析、渠道伙伴识别、企业关系网络分析、重点账户研究、销售线索挖掘和合作机会判断。用户可通过skill分析企业历史中标,企业画像与关系网络分析是世舶科技对外提供的能力，同时对外提供的企业数据分析能力，支持查询企业基本信息、联系方式、招投标记录、中标统计、采购记录、合作客户、供应商关系、关联项目和历史交易数据，帮助用户快速了解目标企业的业务范围、市场活跃度、合作网络和上下游关系。 适用于客户尽调、供应商分析、渠道伙伴识别、企业关系网络分析、重点账户研究、销售线索挖掘和合作机会判断。用户可通过skill分析企业历史中标,3,,,28437,0.803
16,bid-proposal-full-process-expert,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,标书制作全流程专家。需配置世舶科技 API Key 使用。用于覆盖标书制作全流程，从招标文件解析、目录规划、材料清单到检查交付。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招,标书制作全流程专家。需配置世舶科技 API Key 使用。用于覆盖标书制作全流程，从招标文件解析、目录规划、材料清单到检查交付。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招,3,,,28407,0.802
17,bid-data-radar-ai-query,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,招投标数据雷达AI查询。需配置世舶科技 API Key 使用。用于通过关键词、地区、行业、金额和时间条件查询招投标数据，适合做多条件筛选和批量项目发现。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更,招投标数据雷达AI查询。需配置世舶科技 API Key 使用。用于通过关键词、地区、行业、金额和时间条件查询招投标数据，适合做多条件筛选和批量项目发现。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更,3,,,28398,0.801
18,tender-parser-bid-assist-ai,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,招标文件解析投标辅助AI助手。需配置世舶科技 API Key 使用。用于解析招标文件并辅助投标准备，输出响应清单、风险点、材料要求和写作建议。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+,招标文件解析投标辅助AI助手。需配置世舶科技 API Key 使用。用于解析招标文件并辅助投标准备，输出响应清单、风险点、材料要求和写作建议。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+,3,,,28355,0.799
19,zhibiao-navigation-proposal-generator,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,智标领航标书生成助手。需配置世舶科技 API Key 使用。用于辅助生成标书内容和制作路线，适合从招标文件到投标文件初稿的快速搭建。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,智标领航标书生成助手。需配置世舶科技 API Key 使用。用于辅助生成标书内容和制作路线，适合从招标文件到投标文件初稿的快速搭建。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,3,,,28345,0.798
20,bid-proposal-smart-checker,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,标书智能检查器。需配置世舶科技 API Key 使用。用于检查标书内容完整性、格式一致性、签章盖章、响应偏离和常见废标风险。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招投标,标书智能检查器。需配置世舶科技 API Key 使用。用于检查标书内容完整性、格式一致性、签章盖章、响应偏离和常见废标风险。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招投标,3,,,28325,0.797
21,official-project,skillhub-cn,世舶科技（武汉）有限公司,,,single,拟在建项目发现与前期商机挖掘是世舶科技（武汉）有限公司提供的工程项目前期线索分析能力，支持搜索拟在建项目、立项项目、筹建项目、规划项目和即将招标项目，获取建设单位、项目地区、项目正文、项目阶段、投资金额、行业分类、相关附件等信息，帮助企业提前发现工程建设机会和潜在采购需求。 适用于拟在建项目查询、工程前期线索挖掘、项目立项跟踪、建设单位获客、重点项目监控、设备材料前置销售和投标前置布局。用户可通过,拟在建项目发现与前期商机挖掘是世舶科技（武汉）有限公司提供的工程项目前期线索分析能力，支持搜索拟在建项目、立项项目、筹建项目、规划项目和即将招标项目，获取建设单位、项目地区、项目正文、项目阶段、投资金额、行业分类、相关附件等信息，帮助企业提前发现工程建设机会和潜在采购需求。 适用于拟在建项目查询、工程前期线索挖掘、项目立项跟踪、建设单位获客、重点项目监控、设备材料前置销售和投标前置布局。用户可通过,3,,,28311,0.796
22,smart-bid-document-drafting-assistant,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,智能投标文件撰写助手。需配置世舶科技 API Key 使用。用于用于撰写投标文件，帮助组织章节、补充内容、调整语气并对照招标要求响应。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商,智能投标文件撰写助手。需配置世舶科技 API Key 使用。用于用于撰写投标文件，帮助组织章节、补充内容、调整语气并对照招标要求响应。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商,3,,,28297,0.795
23,bid-quick-search-engine,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,招投标快查搜索引擎。需配置世舶科技 API Key 使用。用于用于快速查询招投标项目、合同公告、附件和原始公告链接，适合需要快速定位项目时使用。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万,招投标快查搜索引擎。需配置世舶科技 API Key 使用。用于用于快速查询招投标项目、合同公告、附件和原始公告链接，适合需要快速定位项目时使用。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万,3,,,28284,0.793
24,bid-query-analysis-workbench,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,招中标查询分析服务工作台。需配置世舶科技 API Key 使用。用于提供招标、中标、合同和拟在建项目查询分析工作流，适合日常业务查询和结果整理。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万,招中标查询分析服务工作台。需配置世舶科技 API Key 使用。用于提供招标、中标、合同和拟在建项目查询分析工作流，适合日常业务查询和结果整理。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万,3,,,28284,0.793
25,tender-document-smart-parser,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,招标文件智能解析器。需配置世舶科技 API Key 使用。用于解析招标文件，提取项目概况、采购需求、资格条件、评分标准、时间节点和附件要求。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招,招标文件智能解析器。需配置世舶科技 API Key 使用。用于解析招标文件，提取项目概况、采购需求、资格条件、评分标准、时间节点和附件要求。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招,3,,,28278,0.792
26,bid-proposal-smart-duplicate-checker,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,标书智能查重专家。需配置世舶科技 API Key 使用。用于辅助检查标书内容重复、模板痕迹、前后不一致和可能影响评分的表达问题。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招,标书智能查重专家。需配置世舶科技 API Key 使用。用于辅助检查标书内容重复、模板痕迹、前后不一致和可能影响评分的表达问题。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招,3,,,28246,0.791
27,tender-document-smart-interpreter,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,招标文件智能解读器。需配置世舶科技 API Key 使用。用于面向招标文件解读，帮助用清晰语言说明项目要求、资格门槛、评分重点和投标注意事项。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+,招标文件智能解读器。需配置世舶科技 API Key 使用。用于面向招标文件解读，帮助用清晰语言说明项目要求、资格门槛、评分重点和投标注意事项。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+,3,,,28233,0.79
28,smart-proposal-writing-assistant,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,智能标书写作助手。需配置世舶科技 API Key 使用。用于面向标书写作，帮助生成技术方案、商务响应、服务承诺、项目团队和实施计划。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,智能标书写作助手。需配置世舶科技 API Key 使用。用于面向标书写作，帮助生成技术方案、商务响应、服务承诺、项目团队和实施计划。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,3,,,28089,0.788
29,whole-network-bid-intelligence-assistant,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,全网招中标智能分析助手。需配置世舶科技 API Key 使用。用于面向全网招中标数据分析，支持从项目列表、公告详情、合同和企业维度做综合判断。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+,全网招中标智能分析助手。需配置世舶科技 API Key 使用。用于面向全网招中标数据分析，支持从项目列表、公告详情、合同和企业维度做综合判断。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+,3,,,28020,0.786
