rank,skill,skill_key,platform,vendor,source_skillssh,slug_clawhub,url,repo_url,install,match,description,description_zh,x_mentions_7d,x_truncated,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_engagement_7d,buzz_score,buzz_shared
11,grill-with-docs,ss:mattpocock/skills/grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-with-docs,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill grill-with-docs,single,,,25,false,0,0,1,2,4,3721,0.59,true
12,markdown-converter,ch:markdown-converter,clawhub,steipete,,markdown-converter,https://clawhub.ai/steipete/skills/markdown-converter,,openclaw skills install @steipete/markdown-converter,upstream,"Convert documents and files to Markdown using markitdown. Use when converting PDF, Word (.docx), PowerPoint (.pptx), Excel (.xlsx, .xls), HTML, CSV, JSON, XML, images (with EXIF/OCR), audio (with tran","{""answer"":""使用 markitdown 将文档和文件转换为 Markdown。用于将 PDF、Word (.docx)、PowerPoint (.pptx)、Excel (.xlsx, .xls)、HTML、CSV、JSON、XML、图片（含 EXIF/OCR）、音频（含转录）、ZIP 压缩包、YouTube 链接或 EPub 转换为 Markdown 格式，以进行 LLM 处理或文本分",,false,1,1,2,3,1,,0.578,false
13,auto-updater,ch:auto-updater,clawhub,,,auto-updater,https://clawhub.ai/maximeprades/skills/auto-updater,,openclaw skills install @maximeprades/auto-updater,upstream,"Automatically update Clawdbot and all installed skills once daily. Runs via cron, checks for updates, applies them, and messages the user with a summary of what changed.",每日自动更新 Clawdbot 及所有已安装技能。运行 cron 检查更新并应用，同时向用户发送变更摘要。,1,false,0,0,2,11,2,0,0.503,true
14,proactive-agent,ch:proactive-agent,clawhub,,,proactive-agent,https://clawhub.ai/halthelobster/skills/proactive-agent,,openclaw skills install @halthelobster/proactive-agent,upstream,"Transform AI agents from task-followers into proactive partners that anticipate needs and continuously improve. Now with WAL Protocol, Working Buffer, Autonomous Crons, and battle-tested patterns. Par",将 AI 代理从任务执行者转变为能够预见需求、持续优化的主动伙伴。现已支持 WAL Protocol、Working Buffer、Autonomous Crons 及经过实战验证的模式。属于 Hal Stack 🦞。,39,false,0,0,0,0,1,527,0.465,false
15,vercel-react-best-practices,ss:vercel-labs/agent-skills/vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,https://www.skills.sh/vercel-labs/agent-skills/vercel-react-best-practices,https://github.com/vercel-labs/agent-skills,npx skills add https://github.com/vercel-labs/agent-skills --skill vercel-react-best-practices,single,,,8,false,0,0,0,0,4,1031,0.453,false
16,azure-ai,ss:microsoft/azure-skills/azure-ai,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/azure-ai,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill azure-ai,single,,,,false,0,0,53,63,4,,0.445,false
17,multi-search-engine,sh:multi-search-engine,skillhub-cn,成都智创未来教育管理合伙企业（有限合伙）,,,,,,single,"多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -","多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -",2,false,0,0,0,1,2,20,0.422,true
18,domain-modeling,ss:mattpocock/skills/domain-modeling,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/domain-modeling,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill domain-modeling,single,,,,false,0,0,1,1,5,,0.42,true
19,stock-analysis,ch:stock-analysis,clawhub,,,stock-analysis,https://clawhub.ai/udiedrichsen/skills/stock-analysis,,openclaw skills install @udiedrichsen/stock-analysis,upstream,"Analyze stocks and cryptocurrencies using Yahoo Finance data. Supports portfolio management, watchlists with alerts, dividend analysis, 8-dimension stock scoring, viral trend detection (Hot Scanner), ",利用Yahoo Finance数据深度分析股票和加密货币。支持投资组合管理、关注列表与提醒、股息分析、八维度股票评分、热门趋势扫描（热点扫描器）及谣言/早期信号检测。适用于股票分析、投资组合追踪、财报反应、加密货币监控、热门股票发现及在主流媒体前抢先获取消息。,,false,0,0,56,280,1,,0.411,false
20,codebase-design,ss:mattpocock/skills/codebase-design,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/codebase-design,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill codebase-design,single,,,,false,0,0,1,1,3,,0.405,true
21,automation-workflows,ch:automation-workflows,clawhub,,,automation-workflows,https://clawhub.ai/jk-0001/skills/automation-workflows,,openclaw skills install @jk-0001/automation-workflows,upstream,"Design and implement automation workflows to save time and scale operations as a solopreneur. Use when identifying repetitive tasks to automate, building workflows across tools, setting up triggers an",设计和实施自动化工作流，帮助个体创业者节省时间并扩展业务。用于识别可自动化的重复性任务、跨工具构建工作流、设置触发器和操作，或优化现有自动化。涵盖自动化机会识别、工作流设计、工具选择（Zapier、Make、n8n）、测试及维护。,,false,0,0,32,35,1,,0.403,false
22,brave-search,ch:brave-search,clawhub,steipete,,brave-search,https://clawhub.ai/steipete/skills/brave-search,,openclaw skills install @steipete/brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,,false,0,1,13,23,1,,0.397,false
23,setup-matt-pocock-skills,ss:mattpocock/skills/setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/setup-matt-pocock-skills,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill setup-matt-pocock-skills,single,,,1,false,0,0,0,0,2,11,0.379,false
