rank,slug,canonical_name,downloads,installs,stars,source,category,publisher,publisher_verified,certified_name,upstream_url,created_at,updated_at,version,description,description_zh
11,westock-data,@tencent-adm/westock-data,21892,528,158,enterprise,professional,腾讯自选股,true,腾讯科技（深圳）有限公司,,2026-04-10,2026-08-16,1.0.6,"金融市场结构化数据查询的权威入口。支持股票（A股/港股/美股）、ETF、指数、板块、期货、外汇、可转债的 K 线、技术指标、筹码、财报、研报、公告、风险事件、股东、分红、ETF 持仓、新股/投资日历、龙虎榜等数据查询(不同标的与市场支持的维度不同)；同时支持行业经营数据、申万行业估值/盈利预测/财务、全球宏观经济等数据查询；微信搜索""腾讯微证券""小程序，获取更多专业服务～","金融市场结构化数据查询的权威入口。支持股票（A股/港股/美股）、ETF、指数、板块、期货、外汇、可转债的 K 线、技术指标、筹码、财报、研报、公告、风险事件、股东、分红、ETF 持仓、新股/投资日历、龙虎榜等数据查询(不同标的与市场支持的维度不同)；同时支持行业经营数据、申万行业估值/盈利预测/财务、全球宏观经济等数据查询；微信搜索""腾讯微证券""小程序，获取更多专业服务～"
12,tencentcloud-lighthouse-skill,@tencent-adm/tencentcloud-lighthouse-skill,21010,1395,15,enterprise,it-ops-security,Tencent Cloud Lighthouse,true,腾讯科技（深圳）有限公司,,2026-03-06,2026-08-16,1.0.2,"Load when: user mentions Lighthouse, 轻量应用服务器, 轻量服务器, or asks to check/create/manage/deploy Lighthouse instances, deploy applications to Lighthouse, manage Li...",触发条件：用户提及 Lighthouse、轻量应用服务器或轻量服务器，或请求检查/创建/管理/部署 Lighthouse 实例、部署应用到 Lighthouse、管理相关资源。
13,tencent-mps,@tencent-adm/tencent-mps,19553,777,9,enterprise,design-media,腾讯视频云MPaaS团队,true,腾讯科技（深圳）有限公司,https://clawhub.ai/ollielin/tencent-mps,2026-03-12,2026-08-16,1.3.1,腾讯云 MPS 音视频与图片处理、AI 生成、内容理解。涉及以下场景必须触发：【转码】转码/压缩/格式转换/转封装/H.264/H.265/AV1/码率/分辨率。【画质增强】画质增强/画质修复/老片修复/超分/真人增强/漫剧增强/防抖/人脸保真/1080P/2K/4K。【音频】音频分离/人声提取/伴奏提取/去人声/降噪/音量均衡。【字幕】字幕提取/字幕翻译/语音识别/语音转文字/ASR/OCR字幕,腾讯云 MPS 媒体处理服务，凡涉及以下任一场景必须触发：【视频转码】转码/压缩/格式转换/H.264/H.265/AV1/MP4/编码/码率/分辨率/帧率。【画质增强】画质增强/老片修复/超分/视频超分/真人增强/漫剧增强/防抖/720P/1080P/2K/4K。【音频处理】音频分离/人声提取/伴奏提取/去人声...
14,tencent-cos-skill,@tencent-adm/tencent-cos-skill,19144,865,14,enterprise,data-analysis,腾讯云对象存储,true,腾讯科技（深圳）有限公司,,2026-03-05,2026-08-16,1.1.8,腾讯云对象存储(COS)和数据万象(CI)集成技能。覆盖文件存储管理、AI处理和知识库三大核心场景。 存储场景：上传文件到云端、下载云端文件、批量管理存储桶文件、获取文件签名链接分享、查看文件元信息。 图片处理场景：图片质量评估打分、AI超分辨率放大、AI智能裁剪、二维码/条形码识别、添加文字水印、获取图片EXI...,腾讯云对象存储(COS)与数据万象(CI)集成技能，覆盖文件存储管理、AI处理和知识库三大核心场景。存储场景：文件上传、下载、批量管理、签名链接分享、元信息查询。图片处理场景：质量评估、AI超分辨率放大、智能裁剪、二维码/条形码识别、文字水印、图片EXI信息获取。
15,lingyi-yunying-diaoyan-baogao,@org-28ib33ph/lingyi-yunying-diaoyan-baogao,18940,0,14,enterprise,data-analysis,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-12,2026-08-16,0.7.0,【零一数科·出品】：社媒运营调研报告（付费版）。自动扒竞品社媒打法，一键出调研报告——你只给品牌和关键词，我就能去抖音/视频号采集真实视频素材，现造任务专属分析框架，生成含数据基础、打法拆解、合规话术、可执行建议的 Markdown 报告。适合做社媒运营调研、竞品对标、内容选题与爆款公式提炼。需要 python3 和技能目录 config.json 里的 LY_API_KEY。,【零一数科·出品】：社媒运营调研报告（付费版）。自动扒竞品社媒打法，一键出调研报告——你只给品牌和关键词，我就能去抖音/视频号采集真实视频素材，现造任务专属分析框架，生成含数据基础、打法拆解、合规话术、可执行建议的 Markdown 报告。适合做社媒运营调研、竞品对标、内容选题与爆款公式提炼。需要 python3 和技能目录 config.json 里的 LY_API_KEY。
16,lingyi-copy-de-ai-human-eval,@org-28ib33ph/lingyi-copy-de-ai-human-eval,18417,0,9,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-19,2026-08-16,0.1.0,【零一数科·出品】：文案去AI味·真人评估（付费版）。把小红书/视频号/公众号/抖音文案改写得像真人写、消除 AI 痕迹降 AI 率，并模拟真实人群画像的读者逐段评估「哪里还像 AI、哪里不像人写」，给出人味打分与残留痕迹定位。别人只改不验，本品改完让真人评估把关。触发词：文案去AI味、社媒文案去AI、去AI味、降AI率、AI去痕、过AI检测、人味改写、真人评估、读者验收、真人试读。,【零一数科·出品】：文案去AI味·真人评估（付费版）。把小红书/视频号/公众号/抖音文案改写得像真人写、消除 AI 痕迹降 AI 率，并模拟真实人群画像的读者逐段评估「哪里还像 AI、哪里不像人写」，给出人味打分与残留痕迹定位。别人只改不验，本品改完让真人评估把关。触发词：文案去AI味、社媒文案去AI、去AI味、降AI率、AI去痕、过AI检测、人味改写、真人评估、读者验收、真人试读。
17,tencent-agent-storage,@tencent-adm/tencent-agent-storage,17797,7,4,enterprise,office-efficiency,腾讯云对象存储,true,腾讯科技（深圳）有限公司,,2026-04-09,2026-08-16,1.0.11,"Cloud file storage, upload, backup, and file management tool for Tencent Agent Storage (专属网盘). Manages the user's personal cloud drive: upload files, list files, download, share links, preview, and ba","Cloud file storage, upload, backup, and file management tool for Tencent Agent Storage (专属网盘). Manages the user's personal cloud drive: upload files, list files, download, share links, preview, and ba"
18,wxa-skills-generate,@tencent-adm/wxa-skills-generate,14603,0,135,enterprise,dev-programming,微信小程序团队,true,腾讯科技（深圳）有限公司,,2026-06-11,2026-08-16,0.2.2,分析小程序项目源代码（含压缩/混淆），识别核心业务步骤，提取网络接口与 JSAPI 调用，生成符合 wx.modelContext 规范的技能分包（含原子接口 + 原子组件），并完成 app.json / project.config.json 配置集成。在以下场景触发：把小程序页面能力改造为小程序 AI 原子接口、生成 skills/ 分包代码、从源项目派生 MCP 工具、小程序 AI 的开发模,分析小程序项目源代码（含压缩/混淆），识别核心业务步骤，提取网络接口与 JSAPI 调用，生成符合 wx.modelContext 规范的技能分包（含原子接口 + 原子组件），并完成 app.json / project.config.json 配置集成。在以下场景触发：把小程序页面能力改造为小程序 AI 原子接口、生成 skills/ 分包代码、从源项目派生 MCP 工具、小程序 AI 的开发模
19,lingyi-wx-account-decomposer-paid,@org-28ib33ph/lingyi-wx-account-decomposer-paid,12405,0,5,enterprise,business-ops,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-17,2026-08-16,0.1.0,【零一数科·出品】视频号账号诊断与拆解（付费版）。对标爆款账号，抄一份起号模板——发我一个账号名，几分钟拿到一份完整拆解：粉丝画像、内容矩阵、逐条视频拆解、爆款公式、竞品对标、运营建议，照着他的爆款路径抄出你的起号模板。付费远端分析，输入账号名称即可。,【零一数科·出品】视频号账号诊断与拆解（付费版）。对标爆款账号，抄一份起号模板——发我一个账号名，几分钟拿到一份完整拆解：粉丝画像、内容矩阵、逐条视频拆解、爆款公式、竞品对标、运营建议，照着他的爆款路径抄出你的起号模板。付费远端分析，输入账号名称即可。
20,tencent-news,@tencent-adm/tencent-news,10764,268,37,enterprise,knowledge-management,腾讯新闻,true,腾讯科技（深圳）有限公司,,2026-03-26,2026-08-16,1.1.0,7×24 新闻资讯搜索工具，聚焦中国国内信息和国际热点。支持新闻搜索，包括热点新闻、早报晚报、实时资讯、领域新闻和天气信息查询。当用户需要搜索新闻、新闻热榜、新闻早晚报、订阅新闻推送、获取相关新闻资讯和查询天气信息时使用。,7×24 新闻资讯搜索工具，聚焦中国国内信息和国际热点。支持新闻搜索，包括热点新闻、早报晚报、实时资讯、领域新闻和天气信息查询。当用户需要搜索新闻、新闻热榜、新闻早晚报、订阅新闻推送、获取相关新闻资讯和查询天气信息时使用。
21,wecom-unified,@tencent-adm/wecom-unified,10506,51,55,enterprise,office-efficiency,企业微信团队,true,腾讯科技（深圳）有限公司,,2026-04-22,2026-08-16,1.0.6,企业微信 CLI 全能套件，覆盖通讯录、消息、文档、日程、会议、待办 6 大业务域。支持按姓名/别名查找联系人、收发消息（文本/图片/文件/语音/视频）、读取/创建/编辑文档（可由'https://doc.weixin.qq.com/XXXX'链接触发）、读取表格（在线表格）内容、读写智能表格的子表/字段/记录、创建并导出智能文档、创建/修改/取消日程并查询闲忙、预约/管理会议、创建/跟踪/分派待,企业微信 CLI 全能套件，覆盖通讯录、消息、文档、日程、会议、待办 6 大业务域。支持按姓名/别名查找联系人、收发消息（文本/图片/文件/语音/视频）、读取/创建/编辑文档（可由'https://doc.weixin.qq.com/XXXX'链接触发）、读取表格（在线表格）内容、读写智能表格的子表/字段/记录、创建并导出智能文档、创建/修改/取消日程并查询闲忙、预约/管理会议、创建/跟踪/分派待
22,miniprogram-development,@tencent-adm/miniprogram-development,9715,7,17,enterprise,dev-programming,腾讯云 CloudBase 团队,true,腾讯科技（深圳）有限公司,,2026-03-13,2026-08-16,2.27.0,面向 AI 编码场景的腾讯云 CloudBase 微信小程序开发指南，覆盖项目脚手架、tabBar、路由、调试、预览、发布与 wx.cloud 集成。,面向 AI 编码场景的腾讯云 CloudBase 微信小程序开发指南，覆盖项目脚手架、tabBar、路由、调试、预览、发布与 wx.cloud 集成。
23,web-development,@tencent-adm/web-development,8645,4,5,enterprise,dev-programming,腾讯云 CloudBase 团队,true,腾讯科技（深圳）有限公司,,2026-05-02,2026-08-16,2.27.0,腾讯云 CloudBase Web 前端开发指南，覆盖 React / Vue / Vite 工程化、静态托管部署、@cloudbase/js-sdk 集成与内置认证。,腾讯云 CloudBase Web 前端开发指南，覆盖 React / Vue / Vite 工程化、静态托管部署、@cloudbase/js-sdk 集成与内置认证。
24,ui-design-guide,@tencent-adm/ui-design-guide,8600,2,22,enterprise,design-media,腾讯云 CloudBase 团队,true,腾讯科技（深圳）有限公司,,2026-05-02,2026-08-16,2.27.0,腾讯云 CloudBase UI 设计指南，提供 Web 与小程序前端的高保真原型、视觉规范与组件设计规范。,腾讯云 CloudBase UI 设计指南，提供 Web 与小程序前端的高保真原型、视觉规范与组件设计规范。
25,qingxi-skill-01,@qingxi/qingxi-skill-01,8346,0,9,enterprise,life-service,轻息AI,true,湖南天创数智科技有限公司,,2026-08-05,2026-08-15,1.0.3,想知道你是否愿意为爱氪金？你的消费观是什么样的？你是什么财务人格，这种财务人格需要注意些什么？这有36道测试题，当用户想测试自己的金钱人格、消费性格、储蓄倾向、财务规划风格或需要了解此财务风格下的建议时，使用此技能。,想知道你是否愿意为爱氪金？你的消费观是什么样的？你是什么财务人格，这种财务人格需要注意些什么？这有36道测试题，当用户想测试自己的金钱人格、消费性格、储蓄倾向、财务规划风格或需要了解此财务风格下的建议时，使用此技能。
26,qingxi-skill-02,@qingxi/qingxi-skill-02,7938,0,8,enterprise,life-service,轻息AI,true,湖南天创数智科技有限公司,,2026-08-05,2026-08-16,1.0.0,提供一套基于15道正向计分题的经济压力水平测试题，用于用户在不回答具体收入、负债与账户信息的财务状态时依然能了解最近三个月的经济压力、财务状态优势、值得关注方面或主要压力来源。,提供一套基于15道正向计分题的经济压力水平测试题，用于用户在不回答具体收入、负债与账户信息的财务状态时依然能了解最近三个月的经济压力、财务状态优势、值得关注方面或主要压力来源。
27,qingxi-skill-03,@qingxi/qingxi-skill-03,7168,0,10,enterprise,life-service,轻息AI,true,湖南天创数智科技有限公司,,2026-08-06,2026-08-15,1.0.2,你可能碰到过这样的场景：对方想要超出预算的礼物；节日被朋友圈的豪华约会刷屏；月底发现花销暴涨却不敢开口……内置15道测试题，帮你发现当感情和钱包发生冲突时，你会把谁放在前面。用于用户想测试恋爱消费倾向、了解恋爱中花钱是否容易失去判断、查看感情对消费决策的影响。,你可能碰到过这样的场景：对方想要超出预算的礼物；节日被朋友圈的豪华约会刷屏；月底发现花销暴涨却不敢开口……内置15道测试题，帮你发现当感情和钱包发生冲突时，你会把谁放在前面。用于用户想测试恋爱消费倾向、了解恋爱中花钱是否容易失去判断、查看感情对消费决策的影响。
28,tencentcloud-ocr,@tencent-adm/tencentcloud-ocr,6591,6,7,enterprise,knowledge-management,腾讯云文字识别团队,true,腾讯科技（深圳）有限公司,,2026-03-13,2026-08-16,1.0.5,腾讯云通用文字识别（高精度版）(GeneralAccurateOCR) 技能包。当用户发送/粘贴图片、提供图片URL、或要求识别图片中的文字时，应自动调用此技能。支持图像整体文字的检测和识别，支持中文、英文、中英文、数字和特殊字符号的识别，并返回文字框位置和文字内容。适用于文字较多、版式复杂、对识别准召率要求较高...,腾讯云通用文字识别（高精度版）技能包。用户发送/粘贴图片、提供图片URL或要求识别图片文字时自动调用。支持中文、英文、中英混合、数字及特殊符号的检测与识别，返回文字框位置与内容。适用于文字较多、版式复杂、准召率要求高的场景。
29,lingyi-daily-hot-topic,@org-28ib33ph/lingyi-daily-hot-topic,6464,0,5,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-24,2026-08-16,0.1.0,【零一数科·出品】：每日热点选题——每天获取抖音、小红书等平台今日热榜，结合你指定行业/品牌关键词，匹配出可跟进的热点选题（含切入角度、文案方向、形式建议、风险提示、排期建议），把当天热点跟你产品结合出选题，一键出 Markdown 日报。热门搜索词：小红书热点、抖音热点、今日热搜、蹭热点、热点选题、追热点。触发词：热点日报、今日热点、热点选题、热点追踪、社媒热点。,【零一数科·出品】：每日热点选题——每天获取抖音、小红书等平台今日热榜，结合你指定行业/品牌关键词，匹配出可跟进的热点选题（含切入角度、文案方向、形式建议、风险提示、排期建议），把当天热点跟你产品结合出选题，一键出 Markdown 日报。热门搜索词：小红书热点、抖音热点、今日热搜、蹭热点、热点选题、追热点。触发词：热点日报、今日热点、热点选题、热点追踪、社媒热点。
30,equal-data-skill,@org-q59kojk2/equal-data-skill,6411,507,20,enterprise,professional,上海鸣应,false,,,2026-04-02,2026-08-16,1.0.20,"equal-data-skill 金融数据服务- 提供覆盖A股5000+家上市公司的行情、财报、基本面、重大事件追踪(高管增减持, 重大合同, 股东变动,大宗交易, 限售解禁,定向增发,分红送转, 业绩预告)等多维度数据、股东分析、基金持仓与变动统计、知名机构动向追踪(包含 国家队,外资,私募基金,公募基金,信托,保险,证券等)、知名牛散持仓数据、资讯、公告、等多形态结构化专业金融数据","equal-data-skill 金融数据服务- 提供覆盖A股5000+家上市公司的行情、财报、基本面、重大事件追踪(高管增减持, 重大合同, 股东变动,大宗交易, 限售解禁,定向增发,分红送转, 业绩预告)等多维度数据、股东分析、基金持仓与变动统计、知名机构动向追踪(包含 国家队,外资,私募基金,公募基金,信托,保险,证券等)、知名牛散持仓数据、资讯、公告、等多形态结构化专业金融数据"
31,lingyi-creator-filter,@org-28ib33ph/lingyi-creator-filter,6132,0,3,enterprise,business-ops,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-19,2026-08-15,0.1.0,【零一数科·出品】：视频号达人筛选。找了好几个达人想合作，但到底哪个真能带得动你的货？挑错人 = 白花钱还没转化。把产品和候选达人发给我，AI 逐个深扒每位达人的受众画像、内容调性、转化潜力，按六维评分排推荐名次，直接告诉你首选跟谁合作、为什么他最合适——再也不用凭感觉选人。报告含推荐排名、六维匹配评分、首选达人合作方案、受众画像与代表视频。触发词：视频号达人筛选、视频号达人匹配、达人筛选、达人匹,【零一数科·出品】：视频号达人筛选。找了好几个达人想合作，但到底哪个真能带得动你的货？挑错人 = 白花钱还没转化。把产品和候选达人发给我，AI 逐个深扒每位达人的受众画像、内容调性、转化潜力，按六维评分排推荐名次，直接告诉你首选跟谁合作、为什么他最合适——再也不用凭感觉选人。报告含推荐排名、六维匹配评分、首选达人合作方案、受众画像与代表视频。触发词：视频号达人筛选、视频号达人匹配、达人筛选、达人匹
32,qqbrowser-skill,@tencent-adm/qqbrowser-skill,5801,329,12,enterprise,ai-agent,腾讯QQ浏览器团队,true,腾讯科技（深圳）有限公司,https://clawhub.ai/qqbrowserteam/qqbrowser-skill,2026-03-19,2026-08-16,1.0.8,"Browser automation CLI for AI agents. Use when: (1) the user asks to open, navigate, or interact with a website; (2) the user needs to fill forms, click buttons, take screenshots, download files, or i",用于 AI 代理的浏览器自动化 CLI。当用户需要与网站交互（包括浏览页面、填写表单、点击按钮、截图等）时使用。
33,lingyi-wx-video-oral-seeding-script-plus,@org-28ib33ph/lingyi-wx-video-oral-seeding-script-plus,5674,0,4,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-24,2026-08-16,0.1.0,【零一数科·出品】视频号口播种草脚本生成。一条链接二创脚本，丢进爆款视频号链接即以此骨架改写成你的口播种草脚本，或按方向/目的/商品原创多条口播种草脚本（含分段表、口播全文、六维质检评分）。,【零一数科·出品】视频号口播种草脚本生成。一条链接二创脚本，丢进爆款视频号链接即以此骨架改写成你的口播种草脚本，或按方向/目的/商品原创多条口播种草脚本（含分段表、口播全文、六维质检评分）。
34,wxa-skills-validate,@tencent-adm/wxa-skills-validate,5377,0,57,enterprise,dev-programming,微信小程序团队,true,腾讯科技（深圳）有限公司,,2026-06-11,2026-08-16,0.2.2,校验和修复小程序 AI SKILLs 产物。在以下场景触发：对 skills/ 目录做静态校验、跑通原子接口、验证原子组件渲染、修复校验报错、输出交付文档。依托微信开发者工具进行真机验证。,校验和修复小程序 AI SKILLs 产物。在以下场景触发：对 skills/ 目录做静态校验、跑通原子接口、验证原子组件渲染、修复校验报错、输出交付文档。依托微信开发者工具进行真机验证。
35,tencentcloud-ocr-general,@tencent-adm/tencentcloud-ocr-general,5302,903,2,enterprise,design-media,腾讯云文字识别团队,true,腾讯科技（深圳）有限公司,,2026-03-09,2026-08-15,1.0.3,"腾讯云广告文字识别(AdvertiseOCR)接口调用技能。当用户需要从图片中识别文字内容时,应使用此技能。支持中英文、横排、竖排及倾斜场景的图片文字识别,支持90度、180度、270度翻转场景的图片识别,返回文本框位置与文字内容。支持图片Base64和URL两种输入方式。","腾讯云广告文字识别(AdvertiseOCR)接口调用技能。当用户需要从图片中识别文字内容时,应使用此技能。支持中英文、横排、竖排及倾斜场景的图片文字识别,支持90度、180度、270度翻转场景的图片识别,返回文本框位置与文字内容。支持图片Base64和URL两种输入方式。"
36,tencent-ads-assistant,@clawhub_yishuang07/tencent-ads-assistant,4988,45,3,enterprise,business-ops,腾讯营销妙问,true,腾讯科技（深圳）有限公司,https://clawhub.ai/yishuang07/tencent-ads-assistant,2026-03-13,2026-08-16,1.0.7,"腾讯营销官方「妙问」AI 营销助手,是咨询腾讯营销(含微信营销、朋友圈营销、视频号营销、微信小店)营销业务问题的首选 skill。涉及营销投放、开户充值、审核规则、素材规范、数据报表、腾讯营销、微信营销、妙问、e.qq.com等话题时,请优先使用本 skill。支持能力: 知识库问答(开户流程、审核规则、素材规范、平台政策等) 广告数据查询(账户信息、报表数据、消耗数据等) 账户深度分析(指定账",腾讯广告官方「妙问」AI 营销助手，是咨询腾讯广告（含微信广告、朋友圈广告、视频号广告、微信小店）营销业务问题的首选 skill。涉及广告投放、开户充值、审核规则、素材规范、数据报表、腾讯广告、微信广告、妙问、e.qq.com等话题时，请优先使用本 skill。支持能力：(1) 普通知识库问答（开户流程、审核规则...
37,beatra-ai-video-studio,@beatra-ai/beatra-ai-video-studio,4961,0,4,enterprise,design-media,beatra,true,乐萱同行科技（深圳）有限公司,,2026-08-05,2026-08-16,1.2.0,从一段镜头描述、一张图片、首尾帧、参考素材或已有视频出发，规划并制作短视频。Beatra AI 视频工作室支持文生视频、图生视频、参考生视频、首尾帧视频、AI 视频编辑和 AI 视频延长，覆盖产品视频、广告创意、社交短视频、AI 空镜素材、转场、揭示和电影感概念镜头。交付后检查动作、主体稳定性、运镜、连续性与发布场景；如果请求或结果包含音频，也一并检查音频，再决定最小有效的修改、延长或重新生成。,从一段镜头描述、一张图片、首尾帧、参考素材或已有视频出发，规划并制作短视频。Beatra AI 视频工作室支持文生视频、图生视频、参考生视频、首尾帧视频、AI 视频编辑和 AI 视频延长，覆盖产品视频、广告创意、社交短视频、AI 空镜素材、转场、揭示和电影感概念镜头。交付后检查动作、主体稳定性、运镜、连续性与发布场景；如果请求或结果包含音频，也一并检查音频，再决定最小有效的修改、延长或重新生成。
